date,acquried_company,acquring_company,business,country,price
"June 30, 2020",North,,Smart glasses,Canada,"$180,000,000"
"August 25, 2020",Stratozone,Google Cloud Platform,Cloud Assessment,United States,—
"December 8, 2020",Dataform,Google Cloud Platform,"Big data, analytics",United Kingdom,—
"December 11, 2020",Neverware,Chrome OS,Chrome OS distribution,United States,—
"December 14, 2020",Actifio,Google Cloud Platform,"Backup, Disaster Recovery",United States,—
"January 14, 2021",Fitbit,Wear OS,Wearables,United States,"$2,100,000,000"
February 2021,Provino,Tensor processing unit,Cloud hardware,United States,—
"April 5, 2021",Dysonics,Pixel Buds,Audio hardware,United States,—
"September 3, 2021",Playspace,Google Workspace,Collaboration tool,United States,—
"October 18, 2021",MuJoCo,Google DeepMind,Robotics simulator,United States,—
